Date,Close,High,Low,Open,Volume,Symbol
,Nvda,Nvda,Nvda,Nvda,Nvda,
2017-08-08,4.203939437866211,4.309099309368224,4.164689407831418,4.292560169172066,755336000,NVDA
2017-08-09,4.248620510101318,4.251089116018505,4.13901685573808,4.1577778840379525,530784000,NVDA
2017-08-10,4.066689491271973,4.262198605662961,4.056568345892119,4.249855573185624,1328088000,NVDA
2017-08-11,3.8499486446380615,3.924992503788345,3.7746580662088394,3.8790775280556766,1497196000,NVDA
2017-08-14,4.157034873962402,4.160737545298015,3.929928438894213,3.941530597556027,1279020000,NVDA
2017-08-15,4.121983051300049,4.188386796236431,4.087670235746357,4.162220425804727,764532000,NVDA
2017-08-16,4.076808929443359,4.160492922158325,4.044471277088399,4.137041873821179,596632000,NVDA
2017-08-17,3.985966205596924,4.085448707488463,3.983744790069661,4.0684161287053495,525444000,NVDA
2017-08-18,3.986706256866455,4.0573070508075295,3.940791280753904,4.040274003653453,601204000,NVDA
2017-08-21,3.928696870803833,4.022501788434214,3.884756810079794,4.0111465764877305,623672000,NVDA
2017-08-22,4.016159534454346,4.022089310394205,3.9459911475032845,3.965262801494588,450456000,NVDA
2017-08-23,4.0964579582214355,4.107576228517163,3.974156984968434,3.9828049474232676,579520000,NVDA
2017-08-24,4.081387996673584,4.1330264994748545,4.05495163931624,4.128578812556629,469700000,NVDA
2017-08-25,4.047290802001953,4.115729923291105,4.040866681987811,4.105599870193688,357200000,NVDA
2017-08-28,4.07595157623291,4.079163636700569,4.010724505597703,4.066315866082937,389496000,NVDA
2017-08-29,4.069279670715332,4.0910223372313865,4.008994171631435,4.017147789388182,324096000,NVDA
2017-08-30,4.09349250793457,4.104610776062521,4.058655142132904,4.089044823681123,384400000,NVDA
2017-08-31,4.186392307281494,4.190345176800284,4.106341044490912,4.113752910465106,612684000,NVDA
2017-09-01,4.211593151092529,4.247171801332961,4.190344829803346,4.19899279147865,445432000,NVDA
2017-09-05,4.099175453186035,4.1651437905558195,4.041113796992022,4.160202232634188,695364000,NVDA
2017-09-06,4.096705436706543,4.1458731460479665,4.061868530756849,4.132037158294557,397672000,NVDA
2017-09-07,4.115729808807373,4.1480959307570755,4.075457005328979,4.113505966267506,352868000,NVDA
2017-09-08,4.044325351715088,4.118941179197713,4.020112377855504,4.104116976809606,498856000,NVDA
2017-09-11,4.175520896911621,4.1861452938673205,4.084598302108398,4.090034204476284,567444000,NVDA
2017-09-12,4.190593719482422,4.200229430610173,4.125366642228338,4.200229430610173,411488000,NVDA
2017-09-13,4.209371089935303,4.2382782220920125,4.133025742695319,4.165391872097432,580960000,NVDA
2017-09-14,4.185404300689697,4.263479132652938,4.145872775993344,4.1703326889447245,513712000,NVDA
2017-09-15,4.450018405914307,4.450018405914307,4.265702427900358,4.270890922752138,1364792000,NVDA
2017-09-18,4.633840084075928,4.724021874751375,4.567377867776636,4.574295860978749,1684460000,NVDA
2017-09-19,4.628897190093994,4.690665231717868,4.561446311449687,4.5834359076888,874280000,NVDA
2017-09-20,4.591592788696289,4.680044647280954,4.551319966389958,4.632606892195799,724920000,NVDA
2017-09-21,4.46607780456543,4.514009878818435,4.388249918033279,4.487819999289856,1075600000,NVDA
2017-09-22,4.422593116760254,4.504374347008947,4.41271047195476,4.4547127726971585,491232000,NVDA
2017-09-25,4.224935531616211,4.392944735520105,4.204181553281641,4.391709110379478,874580000,NVDA
